sqft_living,price
4860,2950000.0
4210,1905000.0
1220,875000.0
1220,940000.0
7080,4000000.0
9200,5570000.0
1320,937500.0
2680,1160000.0
2620,1880000.0
5450,3418800.0
2870,1555000.0
2640,1398000.0
2680,1320000.0
9890,6885000.0
1530,865000.0
2300,1000000.0
3550,2100000.0
4780,2575000.0
2660,1712750.0
1580,787500.0
3640,1651000.0
4460,1800000.0
2950,1550000.0
3060,1762000.0
2740,1225000.0
4430,2750000.0
4150,1950000.0
3570,2200000.0
3110,1260000.0
4670,2450000.0
4830,3640900.0
4040,2271150.0
2350,1620000.0
5550,3710000.0
2150,1200000.0
4300,2500000.0
4240,2187730.0
3090,1450000.0
3260,1880000.0
6500,2458000.0
2070,1350000.0
4290,2680000.0
3250,1410000.0
3070,1920000.0
5490,3635000.0
3990,2720000.0
4065,1950000.0
3410,2250000.0
5190,2900000.0
3790,1865000.0
